Brand,Model,Battery Capacity (kWh),Efficiency (Wh/km),Top Speed (km/h),Drive Type,Vehicle Weight (kg),Motor Power (kW),Acceleration 0-100 (sec),Charging Time (hours),Range (km)
BMW,iX1 xDrive30 (v2024),57.6,196.1,163.1,FWD,1849.5,209.6,9.7,1.9,276.8
Chevrolet,Bolt EUV (v2024),108.2,224.6,184.7,RWD,2693.7,355.3,7.7,2.9,466.8
Chevrolet,Blazer EV LT (v2025),65.1,198.7,167.1,FWD,2044.4,176.9,10.3,6.3,305.6
Jaguar,I-Pace HSE (v2023),96.4,223.6,195.5,RWD,2297.2,423.7,6.7,4.8,379.7
BMW,i4 eDrive35 (v2025),75.6,217.8,154.2,FWD,2114.8,182.6,9.4,5.6,330.1
Lucid,Air Touring (v2021),131.5,274.9,270.3,AWD,3020.9,865.7,2.1,4.1,459.2
Honda,e:Ny1 (v2022),49.5,188.0,157.6,RWD,1867.7,208.0,10.0,4.0,240.5
Mercedes,EQS 450+ (v2025),80.5,213.9,169.7,FWD,2290.4,233.2,9.4,4.6,332.0
Kia,EV6 GT-Line (v2025),78.1,217.2,164.9,RWD,2136.0,210.6,9.4,2.8,349.5
Ford,E-Transit (v2024),78.4,201.4,171.9,FWD,1963.4,257.0,9.5,4.7,345.3
Volvo,EX30 Twin Motor (v2023),82.6,205.1,168.1,FWD,2366.7,226.8,9.4,3.0,387.4
Tesla,Cybertruck Dual (v2022),132.4,240.9,271.8,RWD,2831.9,880.0,2.1,10.4,536.2
Rivian,R1T Dual Motor (v2022),105.7,229.0,198.2,AWD,2636.1,417.9,7.2,3.3,409.7
Rivian,R1S Dual Motor (v2022),93.5,246.2,246.8,AWD,2450.8,753.7,3.5,3.3,345.1
MG,ZS EV Standard (v2025),67.0,209.0,163.4,FWD,1981.5,235.9,9.1,4.1,306.9
Honda,Prologue EX (v2025),57.5,220.5,174.1,AWD,2054.8,222.0,9.3,2.2,251.7
Toyota,bZ4X FWD (v2023),109.8,239.7,198.0,RWD,2567.2,440.2,7.1,4.0,416.7
Rivian,R1T Performance (v2021),56.2,211.6,173.1,RWD,1880.6,339.0,8.3,2.6,259.3
Honda,e (v2022),47.5,177.4,162.1,RWD,1848.5,195.5,9.7,3.0,241.6
Lucid,Air Pure (v2023),75.1,202.9,190.4,RWD,2175.2,386.8,7.3,2.7,329.4
Lucid,Air Touring (v2025),93.5,239.2,218.7,AWD,2328.0,561.2,5.9,2.9,349.5
Rivian,R1T Quad Motor (v2022),101.0,222.8,198.7,RWD,2458.5,404.5,7.4,2.3,426.1
BYD,Seal RWD (v2023),103.7,224.5,201.4,RWD,2405.5,421.5,7.2,5.4,430.8
Jaguar,I-Pace Black (v2022),61.5,201.2,170.3,AWD,2083.1,260.7,9.4,3.1,272.1
Nissan,Ariya e-4ORCE (v2023),60.3,203.4,168.2,FWD,1856.3,199.4,9.7,1.9,284.6
Polestar,Polestar 2 Performance (v2023),83.1,224.0,175.2,AWD,2193.6,252.0,9.4,6.1,342.8
Polestar,Polestar 3 Long Range (v2023),77.2,198.5,168.7,RWD,2310.3,222.9,9.0,4.0,364.2
Volkswagen,ID.3 Pro (v2025),76.0,210.4,169.0,FWD,2073.2,294.1,8.5,2.3,319.8
Kia,EV6 Light (v2025),95.5,221.8,190.5,RWD,2346.3,322.0,8.2,4.0,396.3
Nissan,Ariya e-4ORCE (v2022),67.2,204.8,156.8,RWD,2009.6,189.4,9.8,2.3,312.6
Honda,Prologue Touring (v2024),65.0,196.8,163.4,FWD,1833.3,179.7,10.3,3.1,310.3
Audi,Q4 40 e-tron (v2022),91.8,219.9,163.8,AWD,2421.2,258.7,8.6,2.8,377.0
Kia,EV6 Wind (v2025),65.7,193.6,148.3,RWD,1826.6,155.8,10.0,4.7,310.0
Lucid,Air Sapphire (v2024),120.4,271.4,243.2,AWD,2628.6,721.9,3.8,6.9,425.0
Jaguar,I-Pace Black (v2025),54.7,193.2,151.3,RWD,1827.8,138.0,10.1,2.6,276.6
Rivian,R1T Performance (v2021),76.8,200.2,186.3,RWD,1954.5,383.4,7.1,6.6,346.6
Honda,e (v2025),60.8,187.9,156.0,FWD,1764.8,142.9,10.4,1.8,289.1
Rivian,R1T Performance (v2021),47.2,197.5,177.2,AWD,1655.8,272.8,8.2,2.0,222.9
Ford,Mustang Mach-E ER (v2024),72.3,193.9,160.0,RWD,1882.2,160.0,9.4,4.8,362.8
Jaguar,I-Pace Black (v2022),59.9,187.8,164.1,FWD,1946.6,141.2,10.8,6.4,294.3
Chevrolet,Silverado EV WT (v2025),65.3,209.5,163.6,FWD,2120.7,222.1,9.3,2.2,284.7
Chevrolet,Blazer EV RS (v2022),109.8,218.6,182.2,FWD,2464.2,349.7,7.4,11.0,448.9
Chevrolet,Silverado EV WT (v2021),76.2,209.5,162.5,RWD,2275.8,209.7,9.6,3.1,344.7
MG,MG4 EV Standard (v2022),51.0,185.0,160.4,FWD,1618.0,176.3,9.7,2.4,263.1
Lucid,Air Touring (v2024),63.8,206.9,190.8,AWD,1980.5,377.7,7.6,2.2,291.1
MG,Cyberster RWD (v2021),46.8,195.7,144.6,AWD,1725.8,117.1,10.9,1.6,222.3
Toyota,bZ4X FWD (v2023),71.8,189.1,166.6,RWD,1890.1,222.8,9.5,2.7,339.8
Toyota,bZ4X FWD (v2022),50.7,195.3,162.7,RWD,1876.2,181.9,9.5,2.0,249.1
Mercedes,EQS SUV 450 (v2021),53.1,185.0,155.0,RWD,1645.2,171.6,10.1,1.9,259.4
Chevrolet,Silverado EV WT (v2025),87.4,216.5,165.7,FWD,2266.1,265.1,9.0,4.9,387.3
BYD,Atto 3 (v2024),68.6,199.7,176.1,FWD,2133.7,279.3,8.6,4.1,329.3
Tesla,Model X LR (v2024),110.6,244.3,213.5,AWD,2581.3,486.0,6.4,6.4,409.2
Lucid,Air Sapphire (v2025),135.9,275.0,268.3,AWD,3128.9,837.5,2.8,5.4,459.5
Honda,e:Ny1 (v2023),42.0,171.0,158.4,FWD,1669.9,171.7,10.1,3.7,224.4
Volvo,EX30 Single Motor (v2023),45.8,195.6,153.1,AWD,1653.0,130.4,10.3,4.0,229.1
Lucid,Air Touring (v2023),67.7,237.0,214.7,AWD,2201.6,505.3,5.6,2.2,267.0
Polestar,Polestar 3 Long Range (v2025),50.6,184.6,153.2,RWD,1832.5,143.9,10.8,1.3,257.2
BYD,Atto 3 (v2025),53.0,183.9,150.0,FWD,1636.5,118.8,10.7,1.8,270.0
Toyota,bZ4X FWD (v2024),55.3,207.1,166.5,RWD,1800.0,241.4,8.9,3.9,240.0
Chevrolet,Bolt EV (v2023),63.8,187.5,154.8,RWD,1887.9,190.6,10.2,1.8,320.1
Volkswagen,ID.3 Pro S (v2025),105.5,219.6,200.1,AWD,2395.1,363.5,7.6,3.4,445.8
MG,ZS EV Long Range (v2024),60.2,217.9,150.7,AWD,2116.1,159.1,10.2,1.9,258.0
Jaguar,I-Pace Black (v2025),92.1,207.1,161.3,FWD,2346.3,228.0,9.4,5.9,418.0
Kia,EV6 GT (v2023),51.7,177.4,161.5,FWD,1771.6,186.8,10.1,3.1,280.0
Hyundai,Ioniq 6 Long Range (v2021),81.9,204.7,154.5,FWD,2145.1,183.4,9.6,4.6,361.7
BYD,Seal RWD (v2025),53.3,200.7,159.3,AWD,1747.9,189.1,9.5,3.7,248.4
Jaguar,I-Pace Black (v2022),82.6,199.3,166.9,RWD,2039.0,212.5,9.8,7.9,378.6
Jaguar,I-Pace EV400 (v2021),60.3,213.4,149.1,AWD,2054.2,148.5,10.4,3.1,253.5
MG,Cyberster RWD (v2023),36.1,181.3,141.5,RWD,1769.8,115.3,10.7,2.0,186.3
BMW,i4 M50 (v2025),48.3,197.1,159.7,FWD,1797.6,175.8,9.7,2.4,221.1
Mercedes,EQC 400 (v2021),80.6,208.1,161.0,RWD,2334.6,208.2,9.3,3.3,360.7
Ford,Mustang Mach-E ER (v2021),45.5,178.5,147.3,FWD,1540.9,120.3,10.4,1.8,228.4
Toyota,bZ3 (v2022),65.7,202.6,178.1,RWD,1981.4,262.4,8.7,4.7,305.5
BMW,i5 M60 (v2024),83.2,221.5,185.0,AWD,2336.3,351.9,7.9,2.6,345.6
Tesla,Cybertruck Tri (v2025),61.5,198.6,183.1,RWD,1962.5,370.5,7.5,5.8,299.7
Toyota,bZ4X FWD (v2021),66.1,190.5,168.9,FWD,1900.1,243.8,9.4,2.0,309.9
BMW,i4 M50 (v2023),87.7,237.6,196.5,AWD,2349.9,370.1,7.3,4.4,339.2
Toyota,bZ4X FWD (v2023),107.7,241.6,204.6,FWD,2537.2,438.5,7.4,5.5,423.8
BMW,i4 M50 (v2022),45.6,182.2,153.0,FWD,1693.4,137.9,10.8,3.1,230.9
Rivian,R1T Dual Motor (v2023),57.9,212.5,184.2,AWD,1952.5,375.3,7.9,4.0,259.5
Kia,EV6 Light (v2023),65.9,199.7,169.0,FWD,1809.1,204.5,9.1,1.7,313.1
Porsche,Macan EV Turbo (v2022),100.8,242.3,241.8,AWD,2300.7,701.4,4.0,4.4,372.0
Nissan,Townstar EV (v2023),36.0,174.9,149.9,RWD,1501.0,104.8,10.7,1.3,186.6
BYD,Tang EV (v2022),88.9,201.8,180.1,RWD,2311.2,331.8,8.0,8.3,413.7
BYD,Han EV (v2025),58.1,191.1,157.3,RWD,1994.3,175.8,10.1,2.0,270.9
Kia,EV6 GT-Line (v2025),89.5,199.1,166.7,RWD,2123.6,247.3,9.9,3.0,436.8
Honda,Prologue EX (v2023),74.1,219.9,174.7,AWD,2235.2,285.2,8.7,4.0,309.3
Ford,E-Transit (v2024),74.3,214.4,161.2,AWD,2100.5,227.1,9.5,2.8,317.2
Hyundai,Ioniq 6 Long Range (v2025),65.4,196.3,166.9,FWD,1964.6,174.1,10.0,3.9,318.3
BMW,i4 M50 (v2022),97.4,225.9,204.2,RWD,2313.3,406.7,6.6,2.4,379.7
Mercedes,EQS SUV 450 (v2022),97.7,210.7,196.7,RWD,2405.5,392.0,7.1,8.6,409.9
Kia,EV6 GT-Line (v2022),52.4,212.6,161.7,FWD,1939.2,175.2,9.9,2.6,234.5
Honda,Prologue Touring (v2025),47.2,201.2,157.0,AWD,1733.3,115.3,10.4,1.9,207.5
BYD,Han EV (v2025),58.2,195.0,164.2,RWD,1794.4,220.8,9.7,2.0,273.8
Lucid,Air Sapphire (v2023),76.7,199.2,173.5,RWD,2022.9,256.3,8.8,4.4,364.5
MG,MG4 EV XPOWER (v2025),65.3,200.9,178.0,AWD,2116.1,277.5,8.9,2.7,309.5
Lucid,Air Sapphire (v2022),78.2,198.2,173.0,AWD,2045.7,281.6,8.4,3.3,351.0
Porsche,Taycan 4S (v2025),122.8,256.6,264.0,AWD,2639.4,859.0,2.3,5.9,455.4
Porsche,Taycan 4S (v2024),95.4,251.3,270.5,AWD,2321.8,840.3,2.1,2.6,361.5
Lucid,Air Touring (v2025),94.4,237.6,243.4,AWD,2506.8,712.2,3.6,3.2,359.0
BMW,i5 M60 (v2022),71.9,201.7,182.1,FWD,2100.8,287.7,9.0,2.6,315.3
Tesla,Model S Plaid (v2025),76.5,210.7,201.0,RWD,1942.6,488.3,6.0,2.7,321.1
MG,ZS EV Standard (v2022),73.3,200.0,178.4,FWD,1925.4,287.0,8.3,2.5,337.9
Hyundai,Kona Electric 39kWh (v2024),68.6,199.4,163.6,FWD,2151.4,224.8,9.3,2.0,326.7
Toyota,bZ3 (v2024),65.4,197.2,163.5,FWD,2030.6,199.3,10.1,2.4,316.7
Toyota,bZ3 (v2021),100.5,221.2,196.9,RWD,2507.2,401.2,7.2,2.4,435.0
Kia,EV6 GT (v2023),51.5,197.0,160.8,AWD,1812.3,192.8,10.0,1.9,233.1
Jaguar,I-Pace EV400 (v2021),86.3,242.6,193.4,AWD,2472.2,386.4,7.5,2.6,336.8
Kia,EV9 GT-Line (v2023),69.6,195.8,170.5,RWD,2124.7,237.1,9.0,3.2,334.2
Volkswagen,ID.3 Pro S (v2024),109.1,227.2,168.4,RWD,2549.5,253.9,9.0,4.5,452.2
Mercedes,EQA 250 (v2021),46.9,188.3,155.1,FWD,1604.2,125.8,10.8,1.8,225.1
Polestar,Polestar 3 Long Range (v2021),106.1,226.4,171.3,FWD,2577.1,233.8,9.3,4.8,413.0
Lucid,Air Grand Touring (v2021),79.4,228.5,187.0,AWD,2289.1,398.4,7.2,7.1,328.7
Audi,Q6 e-tron (v2023),66.4,212.4,165.3,AWD,2167.7,204.2,9.2,3.4,305.4
Ford,Mustang Mach-E ER (v2023),86.2,206.1,166.4,RWD,2333.2,220.1,9.4,3.1,387.9
Audi,Q4 50 e-tron (v2025),64.9,201.9,174.7,FWD,2070.5,210.4,10.2,2.2,299.4
Jaguar,I-Pace Black (v2024),89.3,213.6,179.1,FWD,2215.0,347.0,8.4,7.0,390.4
Porsche,Taycan Cross Turismo (v2021),99.1,244.2,249.2,AWD,2590.6,754.3,3.6,2.7,387.2
Polestar,Polestar 2 Standard (v2021),87.8,227.4,155.7,AWD,2463.2,194.0,9.6,4.5,377.6
Tesla,Model 3 LR (v2024),81.8,221.3,169.9,AWD,2443.8,268.4,9.0,6.4,352.1
Tesla,Model 3 SR (v2023),107.2,237.1,272.4,RWD,2562.9,880.0,2.1,3.3,437.8
MG,MG4 EV Long Range (v2023),48.2,177.0,162.3,FWD,1607.1,186.4,9.7,2.0,258.4
Ford,Mustang Mach-E ER (v2025),64.2,206.5,156.8,AWD,2062.8,212.2,9.3,1.7,288.1
Porsche,Macan EV Turbo (v2023),67.2,196.1,178.1,AWD,1980.7,272.9,8.7,3.1,325.5
Toyota,bZ3 (v2021),105.0,216.1,187.9,RWD,2345.5,377.0,8.0,4.5,471.8
Chevrolet,Blazer EV RS (v2025),76.5,205.3,163.6,FWD,2100.5,196.8,10.4,3.4,333.5
Kia,Niro EV (v2022),93.6,228.5,191.5,FWD,2418.7,317.3,8.3,8.8,397.7
Lucid,Air Grand Touring (v2021),76.5,225.0,182.5,AWD,2292.0,337.2,7.8,5.2,313.0
Audi,e-tron S (v2024),46.9,191.7,153.5,FWD,1778.8,138.6,10.0,2.7,237.2
Toyota,bZ3 (v2023),106.6,247.2,178.3,AWD,2661.3,277.7,8.8,7.6,383.3
Polestar,Polestar 3 Long Range (v2025),93.2,203.0,166.6,FWD,2483.7,211.2,9.6,4.0,438.2
Tesla,Cybertruck Tri (v2023),87.5,256.3,224.7,AWD,2487.6,582.3,5.2,5.1,300.8
MG,ZS EV Long Range (v2025),35.4,192.3,136.1,AWD,1559.9,85.6,11.0,1.2,171.3
Honda,e:Ny1 (v2025),55.1,186.7,157.5,FWD,1770.7,205.4,9.6,5.1,282.3
Rivian,R1S Dual Motor (v2024),59.1,212.5,189.8,AWD,1847.9,397.5,6.8,3.1,262.2
Tesla,Model X LR (v2025),133.3,256.7,268.5,AWD,2757.5,880.0,2.1,9.4,458.6
MG,MG4 EV Standard (v2024),52.3,206.2,166.2,AWD,1946.5,203.8,10.1,2.4,244.5
Volkswagen,ID.4 GTX (v2023),48.6,186.7,158.2,FWD,1884.3,176.4,10.1,2.7,231.5
Ford,Mustang Mach-E ER (v2024),63.1,217.0,172.2,AWD,2029.3,237.1,9.7,3.7,271.5
Volvo,EX90 Performance (v2021),92.3,197.3,171.6,FWD,2109.8,235.2,9.3,5.7,414.5
Toyota,bZ4X AWD (v2025),86.0,230.2,186.5,AWD,2515.4,382.0,6.9,4.3,365.1
Polestar,Polestar 4 Dual (v2024),107.8,234.5,189.3,RWD,2589.8,311.7,8.5,6.8,405.6
BMW,i4 eDrive35 (v2024),65.1,197.2,173.6,RWD,1829.0,234.9,9.6,3.0,320.7
MG,ZS EV Long Range (v2022),39.0,182.2,162.6,FWD,1545.0,122.7,10.1,1.5,196.4
BYD,Seal RWD (v2024),95.8,208.1,165.0,RWD,2345.8,235.4,9.4,6.5,435.4
Kia,EV9 Light (v2023),68.0,204.8,166.3,RWD,2125.7,227.1,8.9,2.1,294.6
Chevrolet,Equinox EV (v2023),77.1,202.7,172.9,AWD,2018.7,242.7,9.1,2.7,363.8
Polestar,Polestar 2 Performance (v2022),52.5,211.6,165.1,AWD,1838.2,176.5,10.1,3.2,222.1
Chevrolet,Equinox EV (v2025),61.8,203.9,167.5,RWD,2083.6,197.1,9.6,2.0,271.1
Kia,Niro EV (v2025),58.8,194.3,152.8,FWD,1899.2,194.4,10.0,2.0,286.9
MG,MG4 EV XPOWER (v2024),35.0,196.3,148.4,FWD,1734.0,143.3,10.2,2.7,172.3
Toyota,bZ4X AWD (v2025),100.2,197.4,170.3,RWD,2226.9,273.0,9.2,4.3,487.7
Audi,Q4 40 e-tron (v2023),73.9,210.5,156.8,AWD,2262.1,185.6,9.9,7.4,311.6
Lucid,Air Grand Touring (v2025),69.7,211.7,221.3,AWD,1975.9,529.4,6.2,2.3,296.5
Mercedes,EQE SUV 350 (v2023),93.7,218.5,176.2,RWD,2379.8,308.1,8.0,2.7,419.5
Hyundai,Kona Electric 39kWh (v2025),108.1,233.7,188.4,FWD,2678.2,358.0,8.1,2.8,445.9
Kia,EV6 GT (v2024),78.5,198.2,171.9,RWD,2040.4,291.5,9.0,3.1,384.7
Volkswagen,ID.4 GTX (v2021),100.4,216.3,196.5,FWD,2408.0,398.0,7.4,3.1,451.5
Lucid,Air Touring (v2024),73.6,213.5,199.3,RWD,1896.9,464.2,6.2,3.6,336.1
Lucid,Air Touring (v2024),87.3,226.1,186.0,AWD,2295.8,349.2,7.5,4.0,359.2
Rivian,R1T Performance (v2025),62.9,214.1,190.7,AWD,1897.7,374.4,7.8,3.8,267.4
Lucid,Air Pure (v2024),109.4,269.1,273.8,AWD,2481.8,880.0,2.1,6.6,363.0
Chevrolet,Equinox EV (v2023),91.3,208.5,187.2,RWD,2219.3,347.5,8.5,7.8,412.2
MG,Cyberster RWD (v2021),57.2,187.8,163.7,RWD,1713.3,231.2,9.4,2.2,291.9
Jaguar,I-Pace HSE (v2024),91.6,223.8,167.0,AWD,2376.6,295.1,8.4,3.3,376.7
BMW,iX xDrive40 (v2025),89.0,220.6,185.0,FWD,2347.7,397.5,7.6,2.1,382.7
Audi,Q4 50 e-tron (v2024),93.8,211.1,195.9,RWD,2150.1,390.9,7.6,3.6,393.6
Kia,Soul EV (v2025),97.8,212.7,180.0,RWD,2385.3,290.6,8.5,4.0,425.2
Volkswagen,ID.5 GTX (v2021),55.7,183.1,155.9,FWD,1847.4,185.9,10.0,2.3,277.8
BYD,Seal AWD (v2024),104.5,224.8,193.2,FWD,2627.2,394.0,7.2,2.9,438.1
Volvo,C40 Recharge (v2025),84.8,232.6,169.2,AWD,2409.1,249.0,8.7,5.6,322.3
Polestar,Polestar 2 Standard (v2025),54.5,204.7,172.8,FWD,1996.7,230.3,9.2,1.3,247.3
Jaguar,I-Pace Black (v2025),72.1,190.2,156.6,RWD,1981.6,206.0,9.7,2.2,364.0
Chevrolet,Equinox EV (v2021),97.2,231.8,183.1,AWD,2612.8,247.5,8.5,2.9,382.7
MG,MG4 EV Standard (v2022),64.4,184.8,161.9,FWD,1975.8,188.1,10.1,3.3,318.5
Volkswagen,ID.5 GTX (v2024),48.6,185.5,155.8,FWD,1897.8,170.3,10.1,1.7,232.8
Ford,F-150 Lightning Extended (v2025),62.9,196.5,161.0,FWD,2007.1,244.9,9.1,2.9,286.0
Audi,Q4 Sportback (v2025),58.0,192.5,170.8,RWD,1908.0,217.9,9.8,2.2,290.5
BMW,iX M60 (v2025),52.7,194.5,151.6,AWD,1844.1,117.8,10.8,2.2,242.5
MG,MG5 EV (v2022),58.2,205.4,168.5,AWD,1894.1,207.0,9.4,2.6,274.6
Lucid,Air Pure (v2023),132.2,263.7,275.0,AWD,3066.1,880.0,2.1,7.2,473.8
Audi,Q4 40 e-tron (v2023),101.3,204.8,188.2,RWD,2321.8,263.1,9.0,7.2,441.9
Honda,e:Ny1 (v2023),52.7,201.5,152.0,FWD,1756.7,197.2,9.5,5.4,241.9
Honda,Prologue Touring (v2021),60.9,186.9,158.9,RWD,1865.8,160.3,10.0,2.5,315.7
Kia,Niro EV (v2022),70.5,209.0,160.0,RWD,2057.3,194.3,9.6,2.8,321.0
Tesla,Model 3 SR (v2025),92.1,226.7,216.8,AWD,2319.9,582.9,4.9,5.9,360.4
Nissan,Leaf 40kWh (v2023),74.9,198.9,156.0,RWD,1942.0,197.8,9.8,3.3,361.7
Tesla,Model X Plaid (v2024),79.4,224.9,204.8,AWD,2412.6,474.8,6.1,3.5,332.9
Tesla,Model 3 LR (v2025),137.6,275.0,270.7,AWD,3045.6,853.0,2.5,7.9,440.7
Audi,e-tron 55 (v2024),58.1,188.7,171.7,RWD,1697.9,210.4,9.7,1.4,294.7
Polestar,Polestar 2 Long Range (v2025),91.5,202.2,158.7,RWD,2132.3,216.0,9.4,9.4,423.6
Porsche,Taycan 4S (v2022),94.4,230.6,206.3,RWD,2415.5,464.3,6.2,4.0,361.9
Rivian,R1T Quad Motor (v2024),67.8,204.7,179.6,AWD,1905.7,284.3,8.6,3.1,311.2
Tesla,Model 3 LR (v2024),113.3,232.8,188.6,AWD,2541.2,371.7,7.7,5.2,471.3
Honda,Prologue Touring (v2025),41.2,202.6,149.3,AWD,1586.0,121.0,10.6,2.5,193.2
Porsche,Taycan Cross Turismo (v2021),90.6,226.8,175.9,AWD,2449.6,288.2,8.5,5.9,381.1
Volvo,EX90 Twin Motor (v2022),55.6,184.5,156.6,FWD,1827.9,224.7,9.4,1.7,270.9
BYD,Seal RWD (v2021),74.7,220.0,164.3,AWD,2128.5,226.4,10.0,6.0,309.0
Rivian,R1T Dual Motor (v2023),99.2,222.3,192.2,RWD,2423.4,394.3,7.9,4.3,423.1
MG,MG5 EV (v2025),35.1,197.2,148.1,FWD,1541.4,125.9,10.0,2.8,159.0
Rivian,R1T Performance (v2024),83.8,234.8,224.4,AWD,2159.3,568.4,5.2,3.3,317.7
Lucid,Air Touring (v2023),113.3,248.8,223.3,AWD,2660.3,546.4,5.7,4.8,418.6
Porsche,Taycan Turbo S (v2025),133.3,252.5,227.4,AWD,2787.1,660.2,5.0,9.1,501.5
Jaguar,I-Pace HSE (v2023),56.3,188.5,142.6,AWD,1839.2,162.2,10.0,2.4,267.9
MG,MG5 EV (v2022),63.4,219.9,176.2,AWD,2225.0,279.8,8.9,3.9,265.6
Audi,e-tron GT (v2025),108.4,241.8,173.1,AWD,2734.0,319.9,7.8,3.2,410.9
Jaguar,I-Pace EV400 (v2021),78.8,217.6,163.3,AWD,2177.4,232.3,9.2,4.0,341.2
Toyota,bZ4X AWD (v2024),87.1,215.9,177.5,RWD,2398.1,281.8,8.5,3.1,379.0
Hyundai,Ioniq 5 N (v2023),67.3,221.6,158.4,AWD,2224.4,223.2,9.0,2.1,290.5
Hyundai,Ioniq 6 Standard (v2025),90.2,205.5,171.9,FWD,2252.9,250.3,8.8,2.8,402.3
MG,MG5 EV (v2021),53.7,190.6,156.5,RWD,1890.2,150.4,10.4,1.6,267.1
Polestar,Polestar 2 Performance (v2025),48.2,181.4,156.6,FWD,1668.4,150.2,10.6,2.9,254.6
Lucid,Air Pure (v2023),120.8,238.0,196.5,AWD,2746.6,428.7,6.3,4.1,476.0
Volkswagen,ID.4 GTX (v2023),58.6,225.4,155.8,AWD,2184.3,226.8,9.5,4.8,247.1
Kia,EV6 GT-Line (v2021),45.4,189.9,154.4,FWD,1801.9,150.6,10.7,3.3,212.9
Lucid,Air Grand Touring (v2021),81.6,230.7,197.3,AWD,2383.8,406.3,7.4,2.9,320.8
Nissan,Leaf e+ (v2021),73.5,203.6,158.3,AWD,2100.9,194.3,9.4,5.7,353.3
Rivian,R1T Dual Motor (v2025),59.2,218.2,178.4,AWD,2151.6,285.6,9.1,3.6,264.6
Hyundai,Kona Electric 64kWh (v2021),62.9,205.3,169.6,FWD,2059.3,268.6,8.6,2.3,285.5
Kia,EV6 GT-Line (v2023),73.3,218.0,153.2,AWD,2150.8,188.8,8.9,2.4,316.4
Tesla,Model 3 SR (v2024),127.1,267.5,236.0,AWD,2995.2,661.0,4.2,9.1,430.7
Rivian,R1S Dual Motor (v2022),84.3,238.4,252.1,AWD,2150.5,771.3,2.9,4.5,337.7
Ford,E-Transit (v2024),72.6,212.4,179.2,AWD,2092.4,294.6,8.2,7.4,302.8
Jaguar,I-Pace HSE (v2024),57.0,200.0,157.0,AWD,1897.5,188.6,9.9,4.1,251.7
Ford,Mustang Mach-E GT (v2022),106.6,235.3,203.1,FWD,2556.0,469.2,6.0,3.8,403.9
Volkswagen,ID.3 Pro (v2023),96.1,214.3,188.5,FWD,2195.7,371.3,7.4,2.3,405.0
Tesla,Model S Plaid (v2022),100.5,232.2,199.7,RWD,2546.1,446.0,7.1,3.2,409.1
Toyota,bZ3 (v2025),103.9,232.5,175.0,AWD,2742.0,275.1,8.6,5.0,435.6
Tesla,Model 3 LR (v2023),115.4,230.4,197.6,RWD,2406.1,460.8,6.5,3.0,470.8
Kia,Niro EV (v2022),49.4,183.5,160.8,FWD,1768.2,165.3,10.4,1.9,253.7
Tesla,Model Y LR (v2021),61.8,223.0,194.5,AWD,2129.7,380.1,8.0,2.6,265.1
BYD,Dolphin Extended (v2023),77.5,219.9,164.0,AWD,2288.6,275.1,8.6,2.4,334.4
Hyundai,Kona Electric 64kWh (v2024),90.2,212.7,165.0,FWD,2105.7,257.5,8.8,2.5,375.2
Tesla,Cybertruck Dual (v2021),138.2,268.9,275.0,AWD,3150.0,880.0,2.1,3.6,458.3
Honda,Prologue Touring (v2023),60.3,183.1,166.7,FWD,1808.0,159.1,10.3,3.3,298.0
Rivian,R1S Quad Motor (v2025),62.7,210.2,195.7,AWD,2021.9,420.1,6.8,2.5,290.3
Porsche,Taycan 4S (v2022),102.5,240.2,243.4,AWD,2396.8,709.2,3.5,4.6,385.2
Lucid,Air Touring (v2021),132.3,273.3,272.0,AWD,2901.8,880.0,2.1,4.1,451.6
BMW,iX M60 (v2023),99.2,214.9,199.6,FWD,2336.0,390.2,7.3,5.8,451.0
BMW,iX xDrive50 (v2024),59.8,182.5,160.3,RWD,1725.8,205.3,9.9,4.8,288.9
Porsche,Taycan Turbo S (v2024),123.4,242.7,271.6,RWD,2868.0,880.0,2.1,3.3,459.5
Polestar,Polestar 3 Long Range (v2021),85.0,206.9,203.3,RWD,2040.7,372.4,7.7,2.0,383.1
BMW,i5 eDrive40 (v2023),66.3,205.8,170.0,RWD,1941.0,271.4,8.8,3.5,292.1
Chevrolet,Silverado EV WT (v2025),86.6,231.2,190.3,AWD,2188.5,362.3,7.7,2.5,358.5
Polestar,Polestar 2 Standard (v2025),73.4,208.7,158.0,AWD,2057.8,165.5,10.0,2.2,338.2
Chevrolet,Bolt EUV (v2024),99.2,212.3,179.1,RWD,2318.9,275.7,9.0,2.5,428.8
Porsche,Taycan Turbo (v2024),107.6,250.6,262.4,AWD,2604.5,791.7,3.4,2.9,393.0
BYD,Atto 3 (v2021),104.5,212.9,173.3,FWD,2625.9,265.1,8.8,11.0,439.3
Polestar,Polestar 4 Dual (v2021),105.4,235.0,183.5,RWD,2610.8,343.6,8.1,2.5,406.3
BMW,i5 eDrive40 (v2023),100.2,232.0,173.7,FWD,2577.6,284.3,8.4,10.2,391.8
Mercedes,EQS 580 (v2021),62.3,196.8,156.3,RWD,2108.1,188.7,9.4,1.8,299.2
Audi,Q8 50 e-tron (v2024),101.0,214.0,176.9,FWD,2227.5,323.6,8.1,5.0,450.2
MG,ZS EV Long Range (v2022),39.5,171.2,159.5,RWD,1588.6,146.9,10.6,1.4,208.9
Rivian,R1T Quad Motor (v2025),73.9,233.0,208.5,AWD,2332.9,526.9,6.3,6.0,306.6
MG,ZS EV Long Range (v2023),59.4,186.7,166.1,RWD,1810.9,244.5,9.5,1.9,288.9
